# time, velocity, voltage, acceleration, goal, lastError
23.460000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.470000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.480000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.490000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.500000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.510000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.520000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.530000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.540000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.550000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.560000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.570000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.580000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.590000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.600000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.610000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.620000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.630000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.640000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.650000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.660000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.670000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.680000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.690000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.700000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.710000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.720000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.730000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.740000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.750000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.760000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.770000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.780000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.790000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.800000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.810000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.820000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.830000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.840000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.850000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.860000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.870000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.880000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.890000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.900000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.910000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.920000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.930000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.940000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.950000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.960000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.970000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.980000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
23.990000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.000000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.010000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.020000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.030000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.040000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.050000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.060000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.070000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.080000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.090000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.100000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.110000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.120000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.130000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.140000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.150000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.160000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.170000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.180000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.190000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.200000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.210000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.220000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.230000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.240000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.250000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.260000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.270000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.280000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.290000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.300000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.310000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.320000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.330000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.340000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
